"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 10 21:29:00 GMT 2022","Wed Aug 10 21:29:40 GMT 2022","39915","","Проверка работы Ипотечного калькулятора","","tests.MortgageCalculatorTest","newBuildingCalculatorTest","Проверка расчета ЕП в новостройке",""
"passed","Wed Aug 10 21:28:01 GMT 2022","Wed Aug 10 21:28:13 GMT 2022","11637","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintWithNotFullMobilePhoneTest","Наличия подсказки при написании неполного номера телефона",""
"passed","Wed Aug 10 21:27:06 GMT 2022","Wed Aug 10 21:27:16 GMT 2022","9732","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","applicationForConnectingTheProgramMortgageTest","Заявка на подключение программы: ""Ипотека""",""
"passed","Wed Aug 10 21:24:59 GMT 2022","Wed Aug 10 21:25:11 GMT 2022","11595","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","openTelegramLinkTest","Открытие страницы телеграмма по нажатию на иконку",""
"passed","Wed Aug 10 21:27:16 GMT 2022","Wed Aug 10 21:27:27 GMT 2022","11590","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","downloadingAFileWithInformationAboutTheRequiredDocumentTest","Скачивание файла с информацией о необходимых документах",""
"passed","Wed Aug 10 21:27:49 GMT 2022","Wed Aug 10 21:28:01 GMT 2022","12479","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintWithNameNotCyrillicTest","Наличие подсказки при написании имени латинскими буквами",""
"passed","Wed Aug 10 21:26:02 GMT 2022","Wed Aug 10 21:26:18 GMT 2022","16547","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","applicationForConnectingTheProgramCreditForGoodsTest","Заявка на подключение программы: ""Кредит на товар""",""
"passed","Wed Aug 10 21:28:13 GMT 2022","Wed Aug 10 21:28:26 GMT 2022","13726","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","requestCodeFromSmsWithCorrectDataTest","Запрос кода из смс при отправки корректных данных",""
"passed","Wed Aug 10 21:24:35 GMT 2022","Wed Aug 10 21:24:59 GMT 2022","23946","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","checkingTheOperationOfTheDropdownListTest","Проверка работы выпадающего списка",""
"passed","Wed Aug 10 21:26:44 GMT 2022","Wed Aug 10 21:27:06 GMT 2022","22291","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","applicationForConnectingTheProgramNonPurposeLoanTest","Заявка на подключение программы: ""Нецелевой потребительский кредит""",""
"passed","Wed Aug 10 21:27:27 GMT 2022","Wed Aug 10 21:27:37 GMT 2022","9370","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","informationAboutTheAmountOfTheLoanTest","Появление информации о сумме кредита",""
"passed","Wed Aug 10 21:27:37 GMT 2022","Wed Aug 10 21:27:49 GMT 2022","11764","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintWithIncorrectEmailTest","Наличия подсказки при вводе некорректного email",""
"passed","Wed Aug 10 21:25:50 GMT 2022","Wed Aug 10 21:26:02 GMT 2022","11484","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","downloadInstructionsTest","Скачивание файла инструкции",""
"passed","Wed Aug 10 21:28:50 GMT 2022","Wed Aug 10 21:29:00 GMT 2022","10022","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintWithoutDateOfBirthdayTest","Наличие подсказки при неполной дате рождения",""
"passed","Wed Aug 10 21:25:40 GMT 2022","Wed Aug 10 21:25:50 GMT 2022","10277","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","downloadInformationAboutRateTest","Скачивание информации о тарифе",""
"passed","Wed Aug 10 21:28:26 GMT 2022","Wed Aug 10 21:28:38 GMT 2022","11346","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintConsentToTheProcessingOfPersonalDataTest","Наличие подсказки на обязательное поле: согласие на обработку ПД",""
"passed","Wed Aug 10 21:26:34 GMT 2022","Wed Aug 10 21:26:44 GMT 2022","9759","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","applicationForConnectingTheProgramCarLoanTest","Заявка на подключение программы: ""Автокредит""",""
"passed","Wed Aug 10 21:24:14 GMT 2022","Wed Aug 10 21:24:35 GMT 2022","20816","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","openClassmatesLinkTest","Открытие страницы одноклассников по нажатию на иконку",""
"passed","Wed Aug 10 21:28:38 GMT 2022","Wed Aug 10 21:28:50 GMT 2022","12568","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintWithNotFullNameTest","Наличие подсказки при написании неполного имени",""
"passed","Wed Aug 10 21:26:18 GMT 2022","Wed Aug 10 21:26:34 GMT 2022","15700","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","applicationForConnectingTheProgramCreditCardTest","Заявка на подключение программы: ""Кредитная карта""",""
"passed","Wed Aug 10 21:25:11 GMT 2022","Wed Aug 10 21:25:40 GMT 2022","29218","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","openVKLinkTest","Открытие страницы ВК по нажатию на иконку",""
