"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 11 11:15:46 GMT 2022","Thu Aug 11 11:15:46 GMT 2022","166","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintWithNameNotCyrillicTest","Наличие подсказки при написании имени латинскими буквами",""
"broken","Thu Aug 11 11:15:45 GMT 2022","Thu Aug 11 11:15:45 GMT 2022","165","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","applicationForConnectingTheProgramNonPurposeLoanTest","Заявка на подключение программы: ""Нецелевой потребительский кредит""",""
"broken","Thu Aug 11 11:15:44 GMT 2022","Thu Aug 11 11:15:45 GMT 2022","165","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","downloadInformationAboutRateTest","Скачивание информации о тарифе",""
"broken","Thu Aug 11 11:15:46 GMT 2022","Thu Aug 11 11:15:46 GMT 2022","176","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","downloadingAFileWithInformationAboutTheRequiredDocumentTest","Скачивание файла с информацией о необходимых документах",""
"broken","Thu Aug 11 11:15:44 GMT 2022","Thu Aug 11 11:15:44 GMT 2022","186","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","openTelegramLinkTest","Открытие страницы телеграмма по нажатию на иконку",""
"broken","Thu Aug 11 11:15:44 GMT 2022","Thu Aug 11 11:15:44 GMT 2022","179","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","openVKLinkTest","Открытие страницы ВК по нажатию на иконку",""
"broken","Thu Aug 11 11:15:43 GMT 2022","Thu Aug 11 11:15:43 GMT 2022","234","","Проверка работы формы заказа зарплатного проекта","","tests.SalaryProjectTest","checkHinWithNonCyrillicContactPersonTest","Есть подсказка при написании контактного лица не кириллицей",""
"broken","Thu Aug 11 11:15:44 GMT 2022","Thu Aug 11 11:15:44 GMT 2022","166","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","checkingTheOperationOfTheDropdownListTest","Проверка работы выпадающего списка",""
"broken","Thu Aug 11 11:15:45 GMT 2022","Thu Aug 11 11:15:45 GMT 2022","167","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","applicationForConnectingTheProgramCreditCardTest","Заявка на подключение программы: ""Кредитная карта""",""
"broken","Thu Aug 11 11:15:46 GMT 2022","Thu Aug 11 11:15:46 GMT 2022","165","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","informationAboutTheAmountOfTheLoanTest","Появление информации о сумме кредита",""
