"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 10 21:05:16 GMT 2022","Wed Aug 10 21:06:09 GMT 2022","53029","","Проверка работы Ипотечного калькулятора","","tests.MortgageCalculatorTest","newBuildingCalculatorTest","Проверка расчета ЕП в новостройке",""
"passed","Wed Aug 10 21:03:29 GMT 2022","Wed Aug 10 21:03:45 GMT 2022","15401","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintWithNameNotCyrillicTest","Наличие подсказки при написании имени латинскими буквами",""
"passed","Wed Aug 10 20:58:47 GMT 2022","Wed Aug 10 20:59:18 GMT 2022","30518","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","openClassmatesLinkTest","Открытие страницы одноклассников по нажатию на иконку",""
"passed","Wed Aug 10 21:02:47 GMT 2022","Wed Aug 10 21:03:09 GMT 2022","21103","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","informationAboutTheAmountOfTheLoanTest","Появление информации о сумме кредита",""
"passed","Wed Aug 10 21:04:55 GMT 2022","Wed Aug 10 21:05:16 GMT 2022","20202","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintWithoutDateOfBirthdayTest","Наличие подсказки при неполной дате рождения",""
"passed","Wed Aug 10 21:04:24 GMT 2022","Wed Aug 10 21:04:40 GMT 2022","15503","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintConsentToTheProcessingOfPersonalDataTest","Наличие подсказки на обязательное поле: согласие на обработку ПД",""
"broken","Wed Aug 10 21:00:31 GMT 2022","Wed Aug 10 21:00:51 GMT 2022","20462","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","downloadInstructionsTest","Скачивание файла инструкции",""
"passed","Wed Aug 10 20:59:55 GMT 2022","Wed Aug 10 21:00:16 GMT 2022","21290","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","openVKLinkTest","Открытие страницы ВК по нажатию на иконку",""
"passed","Wed Aug 10 21:02:12 GMT 2022","Wed Aug 10 21:02:26 GMT 2022","14384","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","applicationForConnectingTheProgramMortgageTest","Заявка на подключение программы: ""Ипотека""",""
"failed","Wed Aug 10 21:00:16 GMT 2022","Wed Aug 10 21:00:31 GMT 2022","15130","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","downloadInformationAboutRateTest","Скачивание информации о тарифе",""
"passed","Wed Aug 10 21:04:40 GMT 2022","Wed Aug 10 21:04:55 GMT 2022","15545","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintWithNotFullNameTest","Наличие подсказки при написании неполного имени",""
"passed","Wed Aug 10 21:00:52 GMT 2022","Wed Aug 10 21:01:15 GMT 2022","23524","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","applicationForConnectingTheProgramCreditForGoodsTest","Заявка на подключение программы: ""Кредит на товар""",""
"passed","Wed Aug 10 21:03:45 GMT 2022","Wed Aug 10 21:04:00 GMT 2022","15548","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintWithNotFullMobilePhoneTest","Наличия подсказки при написании неполного номера телефона",""
"passed","Wed Aug 10 21:01:49 GMT 2022","Wed Aug 10 21:02:12 GMT 2022","22575","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","applicationForConnectingTheProgramNonPurposeLoanTest","Заявка на подключение программы: ""Нецелевой потребительский кредит""",""
"passed","Wed Aug 10 21:01:28 GMT 2022","Wed Aug 10 21:01:49 GMT 2022","20669","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","applicationForConnectingTheProgramCarLoanTest","Заявка на подключение программы: ""Автокредит""",""
"passed","Wed Aug 10 21:01:15 GMT 2022","Wed Aug 10 21:01:28 GMT 2022","13256","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","applicationForConnectingTheProgramCreditCardTest","Заявка на подключение программы: ""Кредитная карта""",""
"passed","Wed Aug 10 21:03:09 GMT 2022","Wed Aug 10 21:03:29 GMT 2022","20769","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintWithIncorrectEmailTest","Наличия подсказки при вводе некорректного email",""
"failed","Wed Aug 10 20:59:18 GMT 2022","Wed Aug 10 20:59:39 GMT 2022","21077","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","checkingTheOperationOfTheDropdownListTest","Проверка работы выпадающего списка",""
"passed","Wed Aug 10 20:59:39 GMT 2022","Wed Aug 10 20:59:55 GMT 2022","15729","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","openTelegramLinkTest","Открытие страницы телеграмма по нажатию на иконку",""
"passed","Wed Aug 10 21:04:00 GMT 2022","Wed Aug 10 21:04:24 GMT 2022","24080","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","requestCodeFromSmsWithCorrectDataTest","Запрос кода из смс при отправки корректных данных",""
"broken","Wed Aug 10 21:02:26 GMT 2022","Wed Aug 10 21:02:47 GMT 2022","21439","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","downloadingAFileWithInformationAboutTheRequiredDocumentTest","Скачивание файла с информацией о необходимых документах",""
