"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 05 20:19:43 GMT 2023","Fri May 05 20:20:16 GMT 2023","32064","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintWithoutDateOfBirthdayTest","Наличие подсказки при неполной дате рождения",""
"broken","Fri May 05 20:23:28 GMT 2023","Fri May 05 20:24:00 GMT 2023","32005","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","downloadInstructionsTest","Скачивание файла инструкции",""
"broken","Fri May 05 20:24:00 GMT 2023","Fri May 05 20:24:32 GMT 2023","32108","","Проверка работы формы заказа зарплатного проекта","","tests.SalaryProjectTest","checkHintsWhenSendingEmptyFieldsTest","Проверка наличия подсказок при отправлении пустых полей",""
"broken","Fri May 05 20:13:19 GMT 2023","Fri May 05 20:13:51 GMT 2023","31979","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","applicationForConnectingTheProgramCreditCardTest","Заявка на подключение программы: ""Кредитная карта""",""
"broken","Fri May 05 20:20:48 GMT 2023","Fri May 05 20:21:20 GMT 2023","31984","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","openClassmatesLinkTest","Открытие страницы одноклассников по нажатию на иконку",""
"broken","Fri May 05 20:21:52 GMT 2023","Fri May 05 20:22:24 GMT 2023","32003","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","openTelegramLinkTest","Открытие страницы телеграмма по нажатию на иконку",""
"broken","Fri May 05 20:22:24 GMT 2023","Fri May 05 20:22:56 GMT 2023","31940","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","openVKLinkTest","Открытие страницы ВК по нажатию на иконку",""
"broken","Fri May 05 20:24:32 GMT 2023","Fri May 05 20:25:04 GMT 2023","32016","","Проверка работы формы заказа зарплатного проекта","","tests.SalaryProjectTest","checkHinWithNonCyrillicContactPersonTest","Есть подсказка при написании контактного лица не кириллицей",""
"broken","Fri May 05 20:19:12 GMT 2023","Fri May 05 20:19:43 GMT 2023","31908","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintWithNotFullNameTest","Наличие подсказки при написании неполного имени",""
"broken","Fri May 05 20:21:20 GMT 2023","Fri May 05 20:21:52 GMT 2023","32038","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","checkingTheOperationOfTheDropdownListTest","Проверка работы выпадающего списка",""
"broken","Fri May 05 20:20:16 GMT 2023","Fri May 05 20:20:48 GMT 2023","32075","","Проверка работы Ипотечного калькулятора","","tests.MortgageCalculatorTest","newBuildingCalculatorTest","Проверка расчета ЕП в новостройке",""
"broken","Fri May 05 20:18:39 GMT 2023","Fri May 05 20:19:12 GMT 2023","32129","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintConsentToTheProcessingOfPersonalDataTest","Наличие подсказки на обязательное поле: согласие на обработку ПД",""
"broken","Fri May 05 20:25:04 GMT 2023","Fri May 05 20:25:36 GMT 2023","31994","","Проверка работы формы заказа зарплатного проекта","","tests.SalaryProjectTest","checkSendApplicationWithIncorrectPhoneNumberTest","Невозможность отправить заявку с некорректным телефоном",""
"broken","Fri May 05 20:25:36 GMT 2023","Fri May 05 20:26:08 GMT 2023","32035","","Проверка работы формы заказа зарплатного проекта","","tests.SalaryProjectTest","checkThePossibilityToSendAnApplicationWithoutEmailTest","Проверка возможности отправить заявку без e-mail",""
"broken","Fri May 05 20:17:35 GMT 2023","Fri May 05 20:18:07 GMT 2023","32031","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintWithNotFullMobilePhoneTest","Наличия подсказки при написании неполного номера телефона",""
"broken","Fri May 05 20:14:23 GMT 2023","Fri May 05 20:14:55 GMT 2023","32245","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","applicationForConnectingTheProgramNonPurposeLoanTest","Заявка на подключение программы: ""Нецелевой потребительский кредит""",""
"broken","Fri May 05 20:15:27 GMT 2023","Fri May 05 20:15:59 GMT 2023","31996","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","downloadingAFileWithInformationAboutTheRequiredDocumentTest","Скачивание файла с информацией о необходимых документах",""
